;Bezeichnung;Executed-Ist;Kostenart;Plan;Planentwurf;Produktbereich;Profitcenter;Sign;Year
688;Int. Profil und Zielgruppenservice;-1505392.75;203534019;0.0;0.0;01 Innere Verwaltung;101000102;minus;2010
689;Int. Profil und Zielgruppenservice;2981117.0;-2117547445;0.0;0.0;01 Innere Verwaltung;101000102;plus;2010
690;Verwaltungsführung;-1293971.125;624865864;0.0;0.0;01 Innere Verwaltung;102000103;minus;2010
691;Verwaltungsführung;4813614.5;-1681926269;0.0;0.0;01 Innere Verwaltung;102000103;plus;2010
692;PB15 Wirtschaft und Tourismus;-172554.6875;87104440;0.0;0.0;15 Wirtschaft und Tourismus;103001500;minus;2010
693;PB15 Wirtschaft und Tourismus;172554.6875;87104440;0.0;0.0;15 Wirtschaft und Tourismus;103001500;plus;2010
694;Wirtschaftsförderung;-496548.53125;109941686;0.0;0.0;15 Wirtschaft und Tourismus;103001501;minus;2010
695;Wirtschaftsförderung;2440066.25;1627264377;0.0;0.0;15 Wirtschaft und Tourismus;103001501;plus;2010
696;Tourismus;-355170.5;116681510;0.0;0.0;15 Wirtschaft und Tourismus;103001502;minus;2010
697;Tourismus;2045292.625;1632581985;0.0;0.0;15 Wirtschaft und Tourismus;103001502;plus;2010
698;Beethovenhalle (BgA);-363741.53125;5910960;0.0;0.0;15 Wirtschaft und Tourismus;103001503;minus;2010
699;Beethovenhalle (BgA);363741.625;4055370;0.0;0.0;15 Wirtschaft und Tourismus;103001503;plus;2010
700;Gleichstellung von Frau und Mann;-218697.59375;1975875835;0.0;0.0;01 Innere Verwaltung;104000105;minus;2010
701;Gleichstellung von Frau und Mann;267162.4375;302620958;0.0;0.0;01 Innere Verwaltung;104000105;plus;2010
702;PB01 Innere Verwaltung;-119349.242188;622069731;0.0;0.0;01 Innere Verwaltung;110000100;minus;2010
703;PB01 Innere Verwaltung;99816.0859375;-505930449;0.0;0.0;01 Innere Verwaltung;110000100;plus;2010
704;Politische Gremien;-36757.140625;2872960;0.0;0.0;01 Innere Verwaltung;110000101;minus;2010
705;Politische Gremien;6646928.5;-1154958620;0.0;0.0;01 Innere Verwaltung;110000101;plus;2010
706;Beschäftigtenvertretung;-842332.3125;1975875856;0.0;0.0;01 Innere Verwaltung;110000106;minus;2010
707;Beschäftigtenvertretung;951591.0;1068314553;0.0;0.0;01 Innere Verwaltung;110000106;plus;2010
708;Zentrale Dienste;-3963274.0;-382234766;0.0;0.0;01 Innere Verwaltung;110000109;minus;2010
709;Zentrale Dienste;8034880.5;-540358230;0.0;0.0;01 Innere Verwaltung;110000109;plus;2010
710;Personalmanagement;-44375884.0;-838971346;0.0;0.0;01 Innere Verwaltung;110000117;minus;2010
711;Personalmanagement;50152544.0;687491947;0.0;0.0;01 Innere Verwaltung;110000117;plus;2010
712;Verwaltungsorganisation;-593483.6875;1975875844;0.0;0.0;01 Innere Verwaltung;110000125;minus;2010
713;Verwaltungsorganisation;609134.1875;-1931216935;0.0;0.0;01 Innere Verwaltung;110000125;plus;2010
714;IT-Betrieb;-1482033.0;1425984707;0.0;0.0;01 Innere Verwaltung;110200126;minus;2010
715;IT-Betrieb;8650754.0;62329856;0.0;0.0;01 Innere Verwaltung;110200126;plus;2010
716;Bezirksverwaltungsstelle Bonn;729514.4375;-494120744;0.0;0.0;01 Innere Verwaltung;110660130;plus;2010
717;Bezirksverwaltungsstelle Bonn;-353513.46875;1320122353;0.0;0.0;01 Innere Verwaltung;110660130;minus;2010
718;Bezirksverwaltungsstelle Bad Godesberg;847276.5;1420757809;0.0;0.0;01 Innere Verwaltung;110770131;plus;2010
719;Bezirksverwaltungsstelle Bad Godesberg;-255234.859375;1329937580;0.0;0.0;01 Innere Verwaltung;110770131;minus;2010
720;Bezirksverwaltungsstelle Beuel;-296427.875;1431178850;0.0;0.0;01 Innere Verwaltung;110880132;minus;2010
721;Bezirksverwaltungsstelle Beuel;804257.5625;88047914;0.0;0.0;01 Innere Verwaltung;110880132;plus;2010
722;Bezirksverwaltungsstelle Hardtberg;-320087.75;1329035420;0.0;0.0;01 Innere Verwaltung;110990133;minus;2010
723;Bezirksverwaltungsstelle Hardtberg;735419.625;1398175433;0.0;0.0;01 Innere Verwaltung;110990133;plus;2010
724;Presse- und Öffentlichkeitsarbeit;-218882.5625;385662755;0.0;0.0;01 Innere Verwaltung;113000114;minus;2010
725;Presse- und Öffentlichkeitsarbeit;2451035.75;1454579792;0.0;0.0;01 Innere Verwaltung;113000114;plus;2010
726;Rechnungsprüfung;-2238785.75;-715681923;0.0;0.0;01 Innere Verwaltung;114000107;minus;2010
727;Rechnungsprüfung;2211999.75;-695124473;0.0;0.0;01 Innere Verwaltung;114000107;plus;2010
728;Finanzmanagement;3450528.75;-956154737;0.0;0.0;01 Innere Verwaltung;120000120;plus;2010
729;Finanzmanagement;-2702280.5;698111396;0.0;0.0;01 Innere Verwaltung;120000120;minus;2010
730;Kongresszentrum;-3284714.0;5835110;0.0;0.0;15 Wirtschaft und Tourismus;120001505;minus;2010
731;Kongresszentrum;4911486.0;1892187710;0.0;0.0;15 Wirtschaft und Tourismus;120001505;plus;2010
732;Allgemeine Zuweisungen/Umlagen/Abgaben;-177811120.0;11472300;0.0;0.0;16 Allgemeine Finanzwirtschaft;120001605;minus;2010
733;Allgemeine Zuweisungen/Umlagen/Abgaben;74462632.0;297812129;0.0;0.0;16 Allgemeine Finanzwirtschaft;120001605;plus;2010
734;Gebäudemanagement (SGB);-78219736.0;7387419;0.0;0.0;01 Innere Verwaltung;120100129;minus;2010
735;Gebäudemanagement (SGB);116308008.0;1420191036;0.0;0.0;01 Innere Verwaltung;120100129;plus;2010
736;Kreditwirtschaft;-24817604.0;667492231;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101601;minus;2010
737;Kreditwirtschaft;24815218.0;20225000;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101601;plus;2010
738;Anlage von Finanzmitteln;-731151.6875;1851390;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101602;minus;2010
739;Anlage von Finanzmitteln;100002.15625;529110;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101602;plus;2010
740;Liquiditätsmanagement;8266961.0;13701100;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101603;plus;2010
741;Liquiditätsmanagement;-7016502.5;668247431;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101603;minus;2010
742;Forderungsverwaltung;549916.0;1667410;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101604;plus;2010
743;Forderungsverwaltung;-52686.3203125;5074400;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101604;minus;2010
744;Wohnraumversorgung durch Unternehmen;-419694.4375;465100;0.0;0.0;10 Bauen und Wohnen;120201006;minus;2010
745;Anteile an Unternehmen;-361801.53125;2388300;0.0;0.0;15 Wirtschaft und Tourismus;120201510;minus;2010
746;Anteile an Unternehmen;3276993.5;2126000;0.0;0.0;15 Wirtschaft und Tourismus;120201510;plus;2010
747;PB01 Innere Verwaltung;38120.1914062;2032069982;0.0;0.0;01 Innere Verwaltung;121000100;plus;2010
748;PB01 Innere Verwaltung;-38120.1914062;2032069982;0.0;0.0;01 Innere Verwaltung;121000100;minus;2010
749;Finanzbuchhaltung;5009073.5;1875018601;0.0;0.0;01 Innere Verwaltung;121000121;plus;2010
750;Finanzbuchhaltung;-5411941.5;-1540713873;0.0;0.0;01 Innere Verwaltung;121000121;minus;2010
751;Verw. von Steuern und Benutzungsgebühren;-1556606.375;-1638161938;0.0;0.0;01 Innere Verwaltung;121000122;minus;2010
752;Verw. von Steuern und Benutzungsgebühren;2828788.0;255767323;0.0;0.0;01 Innere Verwaltung;121000122;plus;2010
753;Steuern;33686192.0;23623460;0.0;0.0;16 Allgemeine Finanzwirtschaft;121201606;plus;2010
754;Steuern;-390252192.0;42700931;0.0;0.0;16 Allgemeine Finanzwirtschaft;121201606;minus;2010
755;Produktbereichsübergreifend;54946.5976562;745103724;0.0;0.0;00;123000000;plus;2010
756;Produktbereichsübergreifend;-90241.640625;1873103904;0.0;0.0;00;123000000;minus;2010
757;Zentrale Vergabedienstleistungen;762936.1875;-1619599399;0.0;0.0;01 Innere Verwaltung;123000110;plus;2010
758;Zentrale Vergabedienstleistungen;-415159.96875;1223875730;0.0;0.0;01 Innere Verwaltung;123000110;minus;2010
759;Liegenschaftsmanagement;14068461.0;-1519175743;0.0;0.0;01 Innere Verwaltung;123000128;plus;2010
760;Liegenschaftsmanagement;-14874131.0;342167045;0.0;0.0;01 Innere Verwaltung;123000128;minus;2010
761;Straßenrecht und Wettbewerbe;184979.296875;-1712501154;0.0;0.0;09 Räumliche Planung und Entwicklung, Geoinfo;123000905;plus;2010
762;Straßenrecht und Wettbewerbe;-18008.2304688;96906030;0.0;0.0;09 Räumliche Planung und Entwicklung, Geoinfo;123000905;minus;2010
763;Wohnungsbauförderung;1014503.3125;-1801373019;0.0;0.0;10 Bauen und Wohnen;123001004;plus;2010
764;Wohnungsbauförderung;-173484.703125;101119030;0.0;0.0;10 Bauen und Wohnen;123001004;minus;2010
765;Beethovenhalle (BgA) neu ab 2010;-1162341.625;201789081;0.0;0.0;15 Wirtschaft und Tourismus;123001506;minus;2010
766;Beethovenhalle (BgA) neu ab 2010;2927062.5;1062055260;0.0;0.0;15 Wirtschaft und Tourismus;123001506;plus;2010
767;Stiftung Julius Barthels;124486.140625;3246910;0.0;0.0;17 Stiftungen;123001718;plus;2010
768;Stiftung Julius Barthels;-124486.140625;8287000;0.0;0.0;17 Stiftungen;123001718;minus;2010
769;Produktbereichsübergreifend;-41884.25;-1886896671;0.0;0.0;00;130000000;minus;2010
770;Produktbereichsübergreifend;41884.25;-1698896659;0.0;0.0;00;130000000;plus;2010
771;Recht;-3411635.25;229047830;0.0;0.0;01 Innere Verwaltung;130000127;minus;2010
772;Recht;3816379.0;828234936;0.0;0.0;01 Innere Verwaltung;130000127;plus;2010
773;Sozialversicherungsangelegenheiten;-699.539978027;284884139;0.0;0.0;05 Soziale Leistungen;130000512;minus;2010
774;Sozialversicherungsangelegenheiten;77056.6015625;-899793881;0.0;0.0;05 Soziale Leistungen;130000512;plus;2010
775;Lastenausgleich;-336902.34375;286557510;0.0;0.0;05 Soziale Leistungen;130000513;minus;2010
776;Lastenausgleich;651464.9375;-1462124040;0.0;0.0;05 Soziale Leistungen;130000513;plus;2010
777;PB02 Sicherheit und Ordnung;773408.8125;745105003;0.0;0.0;02 Sicherheit und Ordnung;133000200;plus;2010
778;PB02 Sicherheit und Ordnung;-848181.8125;1873105183;0.0;0.0;02 Sicherheit und Ordnung;133000200;minus;2010
779;Allgemeine Sicherheit und Ordnung;-695776.6875;26634083;0.0;0.0;02 Sicherheit und Ordnung;133000201;minus;2010
780;Allgemeine Sicherheit und Ordnung;4125556.0;1164053783;0.0;0.0;02 Sicherheit und Ordnung;133000201;plus;2010
781;Gewerbewesen;-388571.625;10243840;0.0;0.0;02 Sicherheit und Ordnung;133000202;minus;2010
782;Gewerbewesen;690778.625;-261067693;0.0;0.0;02 Sicherheit und Ordnung;133000202;plus;2010
783;Märkte (BgA);1128744.875;890339728;0.0;0.0;02 Sicherheit und Ordnung;133000203;plus;2010
784;Märkte (BgA);-1161166.5;112441265;0.0;0.0;02 Sicherheit und Ordnung;133000203;minus;2010
785;Verkehrsang. Fahr-u.Beförd-erl. Kfz-Ang.;-11274165.0;36552681;0.0;0.0;02 Sicherheit und Ordnung;133000204;minus;2010
786;Verkehrsang. Fahr-u.Beförd-erl. Kfz-Ang.;9469579.0;-146516902;0.0;0.0;02 Sicherheit und Ordnung;133000204;plus;2010
787;Einwohnerangelegenheiten;9215577.0;-1775431022;0.0;0.0;02 Sicherheit und Ordnung;133000205;plus;2010
788;Einwohnerangelegenheiten;-3686490.5;1055199775;0.0;0.0;02 Sicherheit und Ordnung;133000205;minus;2010
789;Personenstandswesen;2287262.5;2128570420;0.0;0.0;02 Sicherheit und Ordnung;133000206;plus;2010
790;Personenstandswesen;-742092.3125;12068850;0.0;0.0;02 Sicherheit und Ordnung;133000206;minus;2010
791;Wahlen;443101.03125;945110727;0.0;0.0;02 Sicherheit und Ordnung;133000207;plus;2010
792;Wahlen;-76781.8125;4781343;0.0;0.0;02 Sicherheit und Ordnung;133000207;minus;2010
793;PB02 Sicherheit und Ordnung;-727234.3125;-1416896654;0.0;0.0;02 Sicherheit und Ordnung;137000200;minus;2010
794;PB02 Sicherheit und Ordnung;727234.3125;-1416896654;0.0;0.0;02 Sicherheit und Ordnung;137000200;plus;2010
795;Brandschutz;-4895868.5;1355587845;0.0;0.0;02 Sicherheit und Ordnung;137000219;minus;2010
796;Brandschutz;21804160.0;-1428105485;0.0;0.0;02 Sicherheit und Ordnung;137000219;plus;2010
797;Abwehr von Großschadensereignissen;3032370.5;1071922752;0.0;0.0;02 Sicherheit und Ordnung;137000220;plus;2010
798;Abwehr von Großschadensereignissen;-464397.03125;963031989;0.0;0.0;02 Sicherheit und Ordnung;137000220;minus;2010
799;Rettungsdienst (KRE);-11128538.0;867795599;0.0;0.0;02 Sicherheit und Ordnung;137000221;minus;2010
800;Rettungsdienst (KRE);10495642.0;1782800113;0.0;0.0;02 Sicherheit und Ordnung;137000221;plus;2010
801;Stiftung zur Förderung der Feuerwehr;1736.26000977;1009100;0.0;0.0;17 Stiftungen;137001720;plus;2010
802;Stiftung zur Förderung der Feuerwehr;-1736.26000977;5327710;0.0;0.0;17 Stiftungen;137001720;minus;2010
803;PB03 Schulträgeraufgaben;536657.6875;-1856763941;0.0;0.0;03 Schulträgeraufgaben;140000300;plus;2010
804;PB03 Schulträgeraufgaben;-622504.375;-728214609;0.0;0.0;03 Schulträgeraufgaben;140000300;minus;2010
805;Grundschulen;26984268.0;802480096;0.0;0.0;03 Schulträgeraufgaben;140000301;plus;2010
806;Grundschulen;-10659731.0;429472170;0.0;0.0;03 Schulträgeraufgaben;140000301;minus;2010
807;Hauptschulen;3684933.5;356898413;0.0;0.0;03 Schulträgeraufgaben;140000302;plus;2010
808;Hauptschulen;-576524.1875;117772618;0.0;0.0;03 Schulträgeraufgaben;140000302;minus;2010
809;Realschulen;-852392.5;122840938;0.0;0.0;03 Schulträgeraufgaben;140000303;minus;2010
810;Realschulen;4940377.0;367779583;0.0;0.0;03 Schulträgeraufgaben;140000303;plus;2010
811;Gymnasien;-2050761.75;133982158;0.0;0.0;03 Schulträgeraufgaben;140000304;minus;2010
812;Gymnasien;11464598.0;466323875;0.0;0.0;03 Schulträgeraufgaben;140000304;plus;2010
813;Gesamtschulen;4706549.5;270258340;0.0;0.0;03 Schulträgeraufgaben;140000305;plus;2010
814;Gesamtschulen;-622455.6875;118230010;0.0;0.0;03 Schulträgeraufgaben;140000305;minus;2010
815;Förderschulen;-835983.9375;233080293;0.0;0.0;03 Schulträgeraufgaben;140000306;minus;2010
816;Förderschulen;3588653.5;745793976;0.0;0.0;03 Schulträgeraufgaben;140000306;plus;2010
817;Berufskollegs;-974773.875;129915468;0.0;0.0;03 Schulträgeraufgaben;140000307;minus;2010
818;Berufskollegs;6770449.0;189127561;0.0;0.0;03 Schulträgeraufgaben;140000307;plus;2010
819;Schülerbeförderung;-73048.09375;9418630;0.0;0.0;03 Schulträgeraufgaben;140000308;minus;2010
820;Schülerbeförderung;6625421.0;-1046542491;0.0;0.0;03 Schulträgeraufgaben;140000308;plus;2010
821;Fördermaßnahmen für Schüler;-493591.75;97118033;0.0;0.0;03 Schulträgeraufgaben;140000309;minus;2010
822;Fördermaßnahmen für Schüler;1152288.75;-1137789454;0.0;0.0;03 Schulträgeraufgaben;140000309;plus;2010
823;Sonstige schulische Aufgaben;-313840.6875;400330128;0.0;0.0;03 Schulträgeraufgaben;140000310;minus;2010
824;Sonstige schulische Aufgaben;1307654.75;-1060079564;0.0;0.0;03 Schulträgeraufgaben;140000310;plus;2010
825;Stiftung Thomas Hansen;-4570.25;2792510;0.0;0.0;17 Stiftungen;140001702;minus;2010
826;Stiftung Thomas Hansen;4570.25;2002600;0.0;0.0;17 Stiftungen;140001702;plus;2010
827;Stiftung Peter Kemper;-47653.8085938;11713120;0.0;0.0;17 Stiftungen;140001703;minus;2010
828;Stiftung Peter Kemper;47653.8085938;40030266;0.0;0.0;17 Stiftungen;140001703;plus;2010
829;PB04 Kultur und Wissenschaft;-86431.1171875;-664897299;0.0;0.0;04 Kultur und Wissenschaft;141000400;minus;2010
830;PB04 Kultur und Wissenschaft;64161.4882812;-1792897479;0.0;0.0;04 Kultur und Wissenschaft;141000400;plus;2010
831;Kulturelle Projekte;-242585.28125;1706146351;0.0;0.0;04 Kultur und Wissenschaft;141000401;minus;2010
832;Kulturelle Projekte;1131793.25;-2025718292;0.0;0.0;04 Kultur und Wissenschaft;141000401;plus;2010
833;Kulturförderung freie Träger;-59119.8203125;4146783;0.0;0.0;04 Kultur und Wissenschaft;141000402;minus;2010
834;Kulturförderung freie Träger;5667434.5;621402048;0.0;0.0;04 Kultur und Wissenschaft;141000402;plus;2010
835;Beethovenpflege;-8.17000007629;376000109;0.0;0.0;04 Kultur und Wissenschaft;141000403;minus;2010
836;Beethovenpflege;8.17000007629;752000259;0.0;0.0;04 Kultur und Wissenschaft;141000403;plus;2010
837;Stiftung Konrad Adenauer;-316.890014648;2792510;0.0;0.0;17 Stiftungen;141001704;minus;2010
838;Stiftung Konrad Adenauer;316.890014648;1009100;0.0;0.0;17 Stiftungen;141001704;plus;2010
839;Stiftung August Kaiser;10770.6699219;1009100;0.0;0.0;17 Stiftungen;141001705;plus;2010
840;Stiftung August Kaiser;-10770.6699219;3254210;0.0;0.0;17 Stiftungen;141001705;minus;2010
841;Dorothea-von-Stetten-Stiftung;-10000.0;2311400;0.0;0.0;17 Stiftungen;141001706;minus;2010
842;Dorothea-von-Stetten-Stiftung;10000.0;543190;0.0;0.0;17 Stiftungen;141001706;plus;2010
843;Stiftung Dr. Werner Borchert;11286.2197266;1524100;0.0;0.0;17 Stiftungen;141001707;plus;2010
844;Stiftung Dr. Werner Borchert;-11286.2197266;3242130;0.0;0.0;17 Stiftungen;141001707;minus;2010
845;Beethoven Orchester;11872089.0;1478300035;0.0;0.0;04 Kultur und Wissenschaft;141200410;plus;2010
846;Beethoven Orchester;-4377471.5;587025263;0.0;0.0;04 Kultur und Wissenschaft;141200410;minus;2010
847;Kunstmuseum;-1448923.75;227238459;0.0;0.0;04 Kultur und Wissenschaft;141300409;minus;2010
848;Kunstmuseum;6638193.5;-897482006;0.0;0.0;04 Kultur und Wissenschaft;141300409;plus;2010
849;Stadtarchiv;-117092.390625;23364763;0.0;0.0;04 Kultur und Wissenschaft;141400407;minus;2010
850;Stadtarchiv;1497979.375;2075364574;0.0;0.0;04 Kultur und Wissenschaft;141400407;plus;2010
851;Stadtmuseum;885660.0625;-1530254184;0.0;0.0;04 Kultur und Wissenschaft;141500408;plus;2010
852;Stadtmuseum;-98930.59375;123273863;0.0;0.0;04 Kultur und Wissenschaft;141500408;minus;2010
853;Stadtbibliothek;4404942.0;1934836218;0.0;0.0;04 Kultur und Wissenschaft;141600406;plus;2010
854;Stadtbibliothek;-502181.375;119934786;0.0;0.0;04 Kultur und Wissenschaft;141600406;minus;2010
855;Musikschule;-1958450.375;419299555;0.0;0.0;04 Kultur und Wissenschaft;141700405;minus;2010
856;Musikschule;5650719.5;1616600647;0.0;0.0;04 Kultur und Wissenschaft;141700405;plus;2010
857;Volkshochschule;-2136699.25;585459587;0.0;0.0;04 Kultur und Wissenschaft;141800404;minus;2010
858;Volkshochschule;3312748.75;-1966783334;0.0;0.0;04 Kultur und Wissenschaft;141800404;plus;2010
859;Theater;35233292.0;1794495423;0.0;0.0;04 Kultur und Wissenschaft;141900411;plus;2010
860;Theater;-8831172.0;1428800;0.0;0.0;04 Kultur und Wissenschaft;141900411;minus;2010
861;Produktbereichsübergreifend;476702.03125;-1293862020;0.0;0.0;00;150000000;plus;2010
862;Produktbereichsübergreifend;-644914.9375;-165861840;0.0;0.0;00;150000000;minus;2010
863;Grundsicherungsleistungen nach d. SGB II;-27853336.0;1432668080;0.0;0.0;05 Soziale Leistungen;150000501;minus;2010
864;Grundsicherungsleistungen nach d. SGB II;82974312.0;-294110923;0.0;0.0;05 Soziale Leistungen;150000501;plus;2010
865;Grundversorgung u.Leistungen n.d.SGB XII;78436344.0;31163895;0.0;0.0;05 Soziale Leistungen;150000502;plus;2010
866;Grundversorgung u.Leistungen n.d.SGB XII;-16650291.0;75549533;0.0;0.0;05 Soziale Leistungen;150000502;minus;2010
867;Leistungen nach dem AsylbLG;-714249.3125;484736258;0.0;0.0;05 Soziale Leistungen;150000503;minus;2010
868;Leistungen nach dem AsylbLG;4849007.0;-501826246;0.0;0.0;05 Soziale Leistungen;150000503;plus;2010
869;Soziale Einrichtungen;1637154.625;-376648051;0.0;0.0;05 Soziale Leistungen;150000504;plus;2010
870;Soziale Einrichtungen;-259503.359375;491354679;0.0;0.0;05 Soziale Leistungen;150000504;minus;2010
871;Förd.Träg.Wohlf.pfl.,Vereine,sonst.Träg.;5705690.0;-1762898160;0.0;0.0;05 Soziale Leistungen;150000506;plus;2010
872;Förd.Träg.Wohlf.pfl.,Vereine,sonst.Träg.;-731110.0625;476658058;0.0;0.0;05 Soziale Leistungen;150000506;minus;2010
873;Unterhaltsvorschussleistungen;-3137866.75;500907040;0.0;0.0;05 Soziale Leistungen;150000507;minus;2010
874;Unterhaltsvorschussleistungen;5664963.0;-312523478;0.0;0.0;05 Soziale Leistungen;150000507;plus;2010
875;Betreuungsleistungen;-25748.2304688;474649258;0.0;0.0;05 Soziale Leistungen;150000508;minus;2010
876;Betreuungsleistungen;695376.875;-527771002;0.0;0.0;05 Soziale Leistungen;150000508;plus;2010
877;Leist. f. Heimk., pol.Häftl., Spätauss.;-1541.17004395;2910070;0.0;0.0;05 Soziale Leistungen;150000509;minus;2010
878;Leist. f. Heimk., pol.Häftl., Spätauss.;23050.7402344;1418467588;0.0;0.0;05 Soziale Leistungen;150000509;plus;2010
879;Sonstige soziale Hilfen und Leistungen;-378047.0;1334284807;0.0;0.0;05 Soziale Leistungen;150000510;minus;2010
880;Sonstige soziale Hilfen und Leistungen;6083948.0;539192010;0.0;0.0;05 Soziale Leistungen;150000510;plus;2010
881;Schwerbehindertenrecht nach SGB IX;-1412627.375;946395149;0.0;0.0;05 Soziale Leistungen;150000511;minus;2010
882;Schwerbehindertenrecht nach SGB IX;2099827.75;-1484612298;0.0;0.0;05 Soziale Leistungen;150000511;plus;2010
883;Tageseinrichtungen für behinderte Kinder;-2942986.25;973762285;0.0;0.0;06 Kinder, Jugend und Familie;150000607;minus;2010
884;Tageseinrichtungen für behinderte Kinder;3854712.25;-1796582155;0.0;0.0;06 Kinder, Jugend und Familie;150000607;plus;2010
885;Wohnr.sich.,-vers./Hilfe Wohn.losigkeit;4515360.0;16147268;0.0;0.0;10 Bauen und Wohnen;150001005;plus;2010
886;Wohnr.sich.,-vers./Hilfe Wohn.losigkeit;-817586.1875;226690496;0.0;0.0;10 Bauen und Wohnen;150001005;minus;2010
887;Stiftung Bonner Altenhilfe;-369768.4375;8387430;0.0;0.0;17 Stiftungen;150001708;minus;2010
888;Stiftung Bonner Altenhilfe;369768.4375;11104651;0.0;0.0;17 Stiftungen;150001708;plus;2010
889;Stiftung Paula Flerus;21033.7597656;33160056;0.0;0.0;17 Stiftungen;150001709;plus;2010
890;Stiftung Paula Flerus;-21033.7597656;5854220;0.0;0.0;17 Stiftungen;150001709;minus;2010
891;Stiftung St.-Albertus-Magnus-Heim;1315.54003906;1540900;0.0;0.0;17 Stiftungen;150001710;plus;2010
892;Stiftung St.-Albertus-Magnus-Heim;-1315.54003906;2792510;0.0;0.0;17 Stiftungen;150001710;minus;2010
893;Stiftung Wilhelmine-Lübke-Heim;-6563.89990234;2792510;0.0;0.0;17 Stiftungen;150001711;minus;2010
894;Stiftung Wilhelmine-Lübke-Heim;6563.89990234;1540900;0.0;0.0;17 Stiftungen;150001711;plus;2010
895;Stiftung Wilhelm-Augusta-Stift;187175.421875;1987000;0.0;0.0;17 Stiftungen;150001712;plus;2010
896;Stiftung Wilhelm-Augusta-Stift;-187175.421875;3221530;0.0;0.0;17 Stiftungen;150001712;minus;2010
897;Stiftung Konvente St. Aegidius/St. Jakob;339668.5625;49354516;0.0;0.0;17 Stiftungen;150001713;plus;2010
898;Stiftung Konvente St. Aegidius/St. Jakob;-339668.5625;17645180;0.0;0.0;17 Stiftungen;150001713;minus;2010
899;Stiftung Johann Gabriel Adrian;4971.20019531;1540900;0.0;0.0;17 Stiftungen;150001714;plus;2010
900;Stiftung Johann Gabriel Adrian;-4971.20019531;3254210;0.0;0.0;17 Stiftungen;150001714;minus;2010
901;Stiftung Max Becker;-411.980010986;2792510;0.0;0.0;17 Stiftungen;150001715;minus;2010
902;Stiftung Max Becker;411.980010986;2002600;0.0;0.0;17 Stiftungen;150001715;plus;2010
903;Stiftung Arme im Allgemeinen;-132684.640625;17846300;0.0;0.0;17 Stiftungen;150001716;minus;2010
904;Stiftung Arme im Allgemeinen;132684.640625;40022626;0.0;0.0;17 Stiftungen;150001716;plus;2010
905;Stiftung Franz Xaver Joseph Lohé;-125401.960938;10836330;0.0;0.0;17 Stiftungen;150001717;minus;2010
906;Stiftung Franz Xaver Joseph Lohé;125401.960938;36712926;0.0;0.0;17 Stiftungen;150001717;plus;2010
907;PB06 Kinder-, Jugend- und Familienhilfe;-1618442.375;-916776664;0.0;0.0;06 Kinder, Jugend und Familie;151000600;minus;2010
908;PB06 Kinder-, Jugend- und Familienhilfe;1217347.125;-2044233724;0.0;0.0;06 Kinder, Jugend und Familie;151000600;plus;2010
909;Förd. v. Kindern in Tagespflege;-1952927.5;411815188;0.0;0.0;06 Kinder, Jugend und Familie;151000601;minus;2010
910;Förd. v. Kindern in Tagespflege;3294098.5;-1164282810;0.0;0.0;06 Kinder, Jugend und Familie;151000601;plus;2010
911;Tageseinrichtungen für Kinder;73010824.0;-314562843;0.0;0.0;06 Kinder, Jugend und Familie;151000602;plus;2010
912;Tageseinrichtungen für Kinder;-39139652.0;436826422;0.0;0.0;06 Kinder, Jugend und Familie;151000602;minus;2010
913;Jugendarbeit;1259721.625;-486960336;0.0;0.0;06 Kinder, Jugend und Familie;151000603;plus;2010
914;Jugendarbeit;-51407.3515625;405199583;0.0;0.0;06 Kinder, Jugend und Familie;151000603;minus;2010
915;Einrichtung der Jugendarbeit;-1261397.625;527618231;0.0;0.0;06 Kinder, Jugend und Familie;151000604;minus;2010
916;Einrichtung der Jugendarbeit;7566703.0;-511663735;0.0;0.0;06 Kinder, Jugend und Familie;151000604;plus;2010
917;Sonst. Leist. z. Förd. j. Menschen u.Fam;-6549007.0;355056704;0.0;0.0;06 Kinder, Jugend und Familie;151000605;minus;2010
918;Sonst. Leist. z. Förd. j. Menschen u.Fam;54950892.0;-147735899;0.0;0.0;06 Kinder, Jugend und Familie;151000605;plus;2010
919;Sonst. Einr. f. j. Menschen u. Familien;1614907.625;-1131716882;0.0;0.0;06 Kinder, Jugend und Familie;151000606;plus;2010
920;Sonst. Einr. f. j. Menschen u. Familien;-158547.59375;404085515;0.0;0.0;06 Kinder, Jugend und Familie;151000606;minus;2010
921;Bundeselterng/ElternzeitG/Betreuungsg.;188286.984375;-1560887788;0.0;0.0;06 Kinder, Jugend und Familie;151000608;plus;2010
922;Bundeselterng/ElternzeitG/Betreuungsg.;-96857.5390625;1054260749;0.0;0.0;06 Kinder, Jugend und Familie;151000608;minus;2010
923;PB08 Sportförderung;-145303.65625;-852896756;0.0;0.0;08 Sportförderung;152000800;minus;2010
924;PB08 Sportförderung;145303.65625;-852896756;0.0;0.0;08 Sportförderung;152000800;plus;2010
